X,Cue,Target,Paired,Q1,Q2,Q3,Q4,Cue_Q
1,MUD,PIG,MUD - PIG,0,0,0,1,MUD  - ?
2,AVENUE,PARK,AVENUE - PARK,0,1,0,0,AVENUE  - ?
3,WINE,CHEESE,WINE - CHEESE,1,1,1,1,WINE  - ?
4,METAL,GOLD,METAL - GOLD,1,0,1,1,METAL  - ?
5,GREEN,APPLE,GREEN - APPLE,1,0,0,1,GREEN  - ?
6,PAPER,WOOD,PAPER - WOOD,1,1,1,1,PAPER  - ?
7,SMELL,FISH,SMELL - FISH,1,0,0,1,SMELL  - ?
8,HOLE,CIRCLE,HOLE - CIRCLE,0,0,0,0,HOLE  - ?
9,LADY,BUG,LADY - BUG,1,0,0,0,LADY  - ?
10,TRAIL,BLAZE,TRAIL - BLAZE,0,1,0,0,TRAIL  - ?
11,HALL,DOOR,HALL - DOOR,1,1,0,0,HALL  - ?
12,LIQUOR,SCOTCH,LIQUOR - SCOTCH,1,1,1,1,LIQUOR  - ?
13,ARMY,MARINE,ARMY - MARINE,0,1,0,0,ARMY  - ?
14,MUSCLE,BONE,MUSCLE - BONE,0,1,0,1,MUSCLE  - ?
15,ANGLE,CURVE,ANGLE - CURVE,1,0,0,0,ANGLE  - ?
16,SUIT,JACKET,SUIT - JACKET,1,1,1,1,SUIT  - ?
17,LIGHT,DAY,LIGHT - DAY,0,0,0,0,LIGHT  - ?
18,SUPPER,LUNCH,SUPPER - LUNCH,1,1,1,1,SUPPER  - ?
19,STUDY,DESK,STUDY - DESK,1,1,0,0,STUDY  - ?
20,BLOOD,HOUND,BLOOD - HOUND,1,0,0,1,BLOOD  - ?
21,POWDER,FLOUR,POWDER - FLOUR,1,1,1,1,POWDER  - ?
22,HAND,WASH,HAND - WASH,0,0,0,0,HAND  - ?
23,HEART,CHEST,HEART - CHEST,0,0,0,0,HEART  - ?
24,SOUND,WAVE,SOUND - WAVE,0,0,0,0,SOUND  - ?
25,LETTERS,NOTES,LETTERS - NOTES,1,1,1,1,LETTERS  - ?
26,BLUE,INK,BLUE - INK,1,1,1,1,BLUE  - ?
27,GROUND,SKY,GROUND - SKY,0,0,0,0,GROUND  - ?
28,BRIGHT,YELLOW,BRIGHT - YELLOW,0,0,0,0,BRIGHT  - ?
29,POCKET,KNIFE,POCKET - KNIFE,1,1,1,1,POCKET  - ?
30,BAR,DRUNK,BAR - DRUNK,1,1,1,0,BAR  - ?
31,WINDOW,FRAME,WINDOW - FRAME,1,1,0,1,WINDOW  - ?
32,SPEAKER,GUEST,SPEAKER - GUEST,0,0,0,0,SPEAKER  - ?
33,SPRING,WINTER,SPRING - WINTER,0,0,0,0,SPRING  - ?
34,BIRD,ANIMAL,BIRD - ANIMAL,1,0,1,0,BIRD  - ?
35,BREATH,OXYGEN,BREATH - OXYGEN,0,0,0,0,BREATH  - ?
36,TOOL,SHOVEL,TOOL - SHOVEL,1,1,1,1,TOOL  - ?
37,STREET,BLOCK,STREET - BLOCK,0,1,0,0,STREET  - ?
38,BALL,DANCE,BALL - DANCE,1,1,1,1,BALL  - ?
39,GENERAL,STORE,GENERAL - STORE,0,1,0,0,GENERAL  - ?
40,SPEAK,LISTEN,SPEAK - LISTEN,0,0,0,0,SPEAK  - ?
41,MACHINE,ENGINE,MACHINE - ENGINE,0,1,0,1,MACHINE  - ?
42,BEER,FOAM,BEER - FOAM,1,1,1,1,BEER  - ?
43,GRAVE,COFFIN,GRAVE - COFFIN,0,1,0,0,GRAVE  - ?
44,BABY,BOTTLE,BABY - BOTTLE,1,1,1,1,BABY  - ?
45,TALK,SING,TALK - SING,0,0,0,0,TALK  - ?
46,BRAIN,CELL,BRAIN - CELL,0,0,0,0,BRAIN  - ?
47,GIFT,BOX,GIFT - BOX,1,1,1,1,GIFT  - ?
48,BAND,GROUP,BAND - GROUP,0,1,1,0,BAND  - ?
49,PRISON,GUARD,PRISON - GUARD,0,1,0,0,PRISON  - ?
50,BEAR,CAVE,BEAR - CAVE,0,0,0,0,BEAR  - ?
51,BROTHER,FAMILY,BROTHER - FAMILY,1,0,0,0,BROTHER  - ?
52,SUN,HEAT,SUN - HEAT,0,0,0,0,SUN  - ?
53,BLIND,VISION,BLIND - VISION,0,0,0,0,BLIND  - ?
54,SITE,CAMP,SITE - CAMP,0,0,0,0,SITE  - ?
55,AGE,WEIGHT,AGE - WEIGHT,0,0,0,0,AGE  - ?
56,PAINT,HOUSE,PAINT - HOUSE,1,1,1,1,PAINT  - ?
57,ARM,CHAIR,ARM - CHAIR,1,1,1,1,ARM  - ?
58,STREAM,LAKE,STREAM - LAKE,0,0,0,0,STREAM  - ?
59,MORNING,COFFEE,MORNING - COFFEE,1,1,1,1,MORNING  - ?
60,MEAT,LOAF,MEAT - LOAF,1,1,1,1,MEAT  - ?
61,LANE,ALLEY,LANE - ALLEY,0,1,0,0,LANE  - ?
62,VEHICLE,TRUCK,VEHICLE - TRUCK,1,1,1,0,VEHICLE  - ?
63,BOAT,SKI,BOAT - SKI,1,1,1,0,BOAT  - ?
64,HIT,FIGHT,HIT - FIGHT,0,0,0,0,HIT  - ?
65,MANAGER,OWNER,MANAGER - OWNER,0,0,0,0,MANAGER  - ?
66,BEACH,TOWEL,BEACH - TOWEL,1,1,1,1,BEACH  - ?
67,GATE,LATCH,GATE - LATCH,1,1,0,0,GATE  - ?
68,BLANKET,PILLOW,BLANKET - PILLOW,1,1,1,1,BLANKET  - ?
69,PRINCE,CASTLE,PRINCE - CASTLE,0,1,0,0,PRINCE  - ?
70,BEEF,CATTLE,BEEF - CATTLE,1,0,1,1,BEEF  - ?
71,MAIL,JUNK,MAIL - JUNK,1,1,0,0,MAIL  - ?
72,LAWYER,CASE,LAWYER - CASE,0,0,0,0,LAWYER  - ?
73,TEN,DIME,TEN - DIME,0,1,0,0,TEN  - ?
74,HIGHWAY,LANE,HIGHWAY - LANE,0,0,0,0,HIGHWAY  - ?
75,MUSIC,NOISE,MUSIC - NOISE,0,0,0,0,MUSIC  - ?
76,PLAY,KID,PLAY - KID,1,0,1,0,PLAY  - ?
